Name,Age,Country,Networth,Source
Elon Musk,50,United States,$286.7 B,"Tesla, SpaceX"
Jeff Bezos,57,United States,$211.7 B,Amazon
Bernard Arnault & family,72,France,$198.7 B,LVMH
Bill Gates,66,United States,$139.1 B,Microsoft
Larry Ellison,77,United States,$128.3 B,software
Larry Page,48,United States,$127.9 B,Google
Sergey Brin,48,United States,$123.2 B,Google
Mark Zuckerberg,37,United States,$121.1 B,Facebook
Steve Ballmer,65,United States,$107.2 B,Microsoft
Warren Buffett,91,United States,$101.9 B,Berkshire Hathaway
Mukesh Ambani,64,India,$94.9 B,diversified
Francoise Bettencourt Meyers & family,68,France,$94.0 B,L'Oréal
Gautam Adani & family,59,India,$80.1 B,"infrastructure, commodities"
Zhong Shanshan,66,China,$79.4 B,"beverages, pharmaceuticals"
Amancio Ortega,85,Spain,$79.3 B,Zara
Carlos Slim Helu & family,81,Mexico,$75.8 B,telecom
Jim Walton,73,United States,$66.6 B,Walmart
Alice Walton,72,United States,$65.7 B,Walmart
Rob Walton,77,United States,$65.4 B,Walmart
Phil Knight & family,83,United States,$62.4 B,Nike
MacKenzie Scott,51,United States,$62.1 B,Amazon
Zhang Yiming,37,China,$59.4 B,TikTok
Michael Bloomberg,79,United States,$59.0 B,Bloomberg LP
Michael Dell,56,United States,$58.2 B,Dell computers
Robin Zeng,52,Hong Kong,$57.4 B,batteries
